34DF	㓟
62CA	拊
62CB	拋
62CC	拌
62CD	拍
62CE	拎
62CF	拏
62D0	拐
62D2	拒
62D3	拓
62D4	拔
62D6	拖
62D7	拗
62D8	拘
62D9	拙
62DA	拚
62DB	招
62DC	拜
62EC	括
62ED	拭
62EE	拮
62EF	拯
62F1	拱
62F3	拳
62F4	拴
62F6	拶
62F7	拷
62FC	拼
62FD	拽
62FE	拾
62FF	拿
6301	持
6302	挂
6307	指
6308	挈
6309	按
630C	挌
630E	挎
6310	挐
6311	挑
6316	挖
6328	挨
632A	挪
632B	挫
632F	振
6332	挲
6339	挹
633A	挺
633D	挽
633E	挾
6342	捂
6345	捅
6346	捆
6348	捈
6349	捉
634B	捋
634C	捌
634D	捍
634E	捎
634F	捏
6350	捐
6354	捔
6355	捕
6365	捥
6367	捧
6368	捨
6369	捩
636B	捫
636E	据
6371	捱
6372	捲
6376	捶
6377	捷
637A	捺
637B	捻
637D	捽
6380	掀
6382	掂
6383	掃
6384	掄
6387	掇
6388	授
6389	掉
638C	掌
638F	掏
6390	掐
6392	排
6396	掖
6398	掘
6399	掙
639B	掛
639F	掟
63A0	掠
63A1	採
63A2	探
63A3	掣
63A5	接
63A7	控
63A8	推
63A9	掩
63AA	措
63AC	掬
63AE	掮
63AF	掯
63B0	掰
63B9	掹
63BE	掾
63C0	揀
63C4	揄
63C6	揆
63C8	揈
63C9	揉
63CD	揍
63CF	描
63D0	提
63D2	插
63D6	揖
63D9	揙
63DA	揚
63DB	換
63E0	揠
63E1	握
63E3	揣
63E6	揦
63E7	揧
63E9	揩
63EA	揪
63ED	揭
63EE	揮
63F4	援
63F6	揶
63F8	揸
63F9	揹
63FC	揼
63FE	揾
6406	搆
640D	損
640F	搏
6410	搐
6413	搓
6414	搔
6416	搖
6417	搗
641C	搜
641E	搞
641F	搟
6421	搡
6425	搥
6427	搧
642A	搪
642C	搬
642D	搭
6432	搲
6435	搵
6436	搶
643A	携
643D	搽
643E	搾
6440	摀
6441	摁
6443	摃
6451	摑
6452	摒
6453	摓
6454	摔
6458	摘
645C	摜
645E	摞
645F	摟
6467	摧
6468	摨
6469	摩
646F	摯
6470	摰
6473	摳
6476	摶
6478	摸
6479	摹
647A	摺
647B	摻
647D	摽
6482	撂
6485	撅
6487	撇
6488	撈
6490	撐
6491	撑
6492	撒
6493	撓
6495	撕
6496	撖
6498	撘
6499	撙
649A	撚
649E	撞
64A2	撢
64A3	撣
64A4	撤
64A5	撥
64A9	撩
64AB	撫
64AC	撬
64AD	播
64AE	撮
64B0	撰
64B2	撲
64B3	撳
64BB	撻
64BC	撼
64BE	撾
64BF	撿
64C0	擀
64C1	擁
64C2	擂
64C4	擄
64C5	擅
64C7	擇
64CA	擊
64CB	擋
64CD	操
64CE	擎
64D0	擐
64D2	擒
64D4	擔
64D7	擗
64D8	擘
64DA	據
64DD	擝
64E0	擠
64E2	擢
64E3	擣
64E4	擤
64E6	擦
64E7	擧
64EC	擬
64EF	擯
64F0	擰
64F1	擱
64F2	擲
64F4	擴
64F7	擷
64F8	擸
64FA	擺
64FB	擻
64FE	擾
6500	攀
6506	攆
650F	攏
6514	攔
6516	攖
6518	攘
6519	攙
651C	攜
651D	攝
651E	攞
6522	攢
6523	攣
6524	攤
6525	攥
652A	攪
652B	攫
652C	攬
652F	支
6530	攰
6536	收
6538	攸
6539	改
653B	攻
653E	放
653F	政
6545	故
6548	效
654E	敎
654F	敏
6551	救
6555	敕
6556	敖
6557	敗
6558	敘
6559	教
655D	敝
655E	敞
6562	敢
6563	散
6566	敦
656C	敬
6572	敲
6574	整
6575	敵
6577	敷
6578	數
6582	斂
6583	斃
6587	文
658C	斌
6590	斐
6591	斑
6595	斕
6597	斗
6599	料
659B	斛
659C	斜
659F	斟
65A1	斡
65A4	斤
65A5	斥
65A7	斧
65AB	斫
65AC	斬
65AF	斯
65B0	新
65B7	斷
65B9	方
65BC	於
65BD	施
65C1	旁
65C2	旂
65C3	旃
65C5	旅
65CB	旋
65CC	旌
65CE	旎
65CF	族
65D6	旖
65D7	旗
65DB	旛
65E2	既
65E5	日
65E6	旦
65E8	旨
65E9	早
65EC	旬
65ED	旭
65F1	旱
65F3	旳
65FA	旺
65FB	旻
65FC	旼
6600	昀
6602	昂
6606	昆
6607	昇
6609	昉
660A	昊
660C	昌
660E	明
660F	昏
6613	易
6614	昔
6615	昕
661C	昜
661F	星
6620	映
6625	春
6627	昧
6628	昨
662D	昭
662F	是
6631	昱
6634	昴
6635	昵
6636	昶
6641	晁
6642	時
6643	晃
6649	晉
664C	晌
664F	晏
6652	晒
665A	晚
665D	晝
665E	晞
665F	晟
6661	晡
6662	晢
6664	晤
6666	晦
6668	晨
666C	晬
666E	普
666F	景
6670	晰
6674	晴
6676	晶
6677	晷
6678	晸
667A	智
667E	晾
6684	暄
6687	暇
6688	暈
6689	暉
668C	暌
668D	暍
6690	暐
6691	暑
6694	暔
6696	暖
6697	暗
6698	暘
669D	暝
66A2	暢
66A8	暨
66AA	暪
66AB	暫
66AE	暮
66B1	暱
66B4	暴
66B8	暸
66B9	暹
66BB	暻
66BE	暾
66C4	曄
66C6	曆
66C7	曇
66C8	曈
66C9	曉
66D6	曖
66D9	曙
66DA	曚
66DC	曜
66DD	曝
66E0	曠
66E6	曦
66E9	曩
66EC	曬
66F0	曰
66F1	曱
66F2	曲
66F3	曳
66F4	更
66F7	曷
66F8	書
66F9	曹
66FC	曼
66FE	曾
66FF	替
6700	最
6703	會
6705	朅
6708	月
6709	有
670B	朋
670D	服
6713	朓
6714	朔
6715	朕
6717	朗
671B	望
671D	朝
671F	期
6726	朦
6727	朧
6728	木
672A	未
672B	末
672C	本
672D	札
672E	朮
6731	朱
6734	朴
6735	朵
673A	机
673D	朽
6746	杆
6747	杇
6749	杉
674C	杌
674E	李
674F	杏
6750	材
6751	村
6753	杓
6756	杖
6759	杙
675C	杜
675E	杞
675F	束
6760	杠
6767	杧
676A	杪
676D	杭
676F	杯
6770	杰
6771	東
6772	杲
6773	杳
6775	杵
6777	杷
677C	杼
677E	松
677F	板
6781	极
6784	构
6787	枇
6789	枉
678B	枋
6790	析
6792	枒
6795	枕
6797	林
679A	枚
679C	果
679D	枝
67AF	枯
67B0	枰
67B1	枱
67B3	枳
67B4	枴
67B6	架
67B7	枷
67B8	枸
67C1	柁
67C4	柄
67CA	柊
67CF	柏
67D0	某
67D1	柑
67D2	柒
67D3	染
67D4	柔
67D8	柘
67D9	柙
67DA	柚
67DC	柜
67DD	柝
67DE	柞
67E2	柢
67E5	查
67E9	柩
67EA	柪
67EC	柬
67EF	柯
67F0	柰
67F1	柱
67F2	柲
67F3	柳
67F4	柴
67F5	柵
67FA	柺
67FF	柿
6813	栓
6814	栔
6816	栖
6817	栗
681D	栝
681E	栞
6821	校
6822	栢
6829	栩
682A	株
6834	栴
6838	核
6839	根
683C	格
683D	栽
6840	桀
6841	桁
6842	桂
6843	桃
6844	桄
6845	桅
6846	框
6848	案
6849	桉
684C	桌
684E	桎
6850	桐
6851	桑
6853	桓
6854	桔
686B	桫
6876	桶
6877	桷
687F	桿
6881	梁
6883	梃
6885	梅
6886	梆
688F	梏
6893	梓
6894	梔
6897	梗
6898	梘
689D	條
689F	梟
68A0	梠
68A2	梢
68A3	梣
68A7	梧
68A8	梨
68AD	梭
68AF	梯
68B0	械
68B1	梱
68B3	梳
68B5	梵
68C4	棄
68C9	棉
68CB	棋
68CD	棍
68D2	棒
68D5	棕
68D6	棖
68D7	棗
68D8	棘
68DA	棚
68DF	棟
68E0	棠
68E3	棣
68E7	棧
68E8	棨
68EE	森
68F0	棰
68F1	棱
68F2	棲
68F5	棵
68F9	棹
68FA	棺
68FB	棻
6905	椅
690B	椋
690D	植
690E	椎
690F	椏
6912	椒
692A	椪
6930	椰
6938	椸
6939	椹
693B	椻
693D	椽
693F	椿
6940	楀
6941	楁
6942	楂
6948	楈
694A	楊
6953	楓
6954	楔
695A	楚
695B	楛
695C	楜
695D	楝
695E	楞
6960	楠
6962	楢
6963	楣
6966	楦
6968	楨
696B	楫
696D	業
696E	楮
696F	楯
6973	楳
6975	極
6977	楷
6978	楸
6979	楹
6982	概
6986	榆
698E	榎
6994	榔
6995	榕
6996	榖
699B	榛
699C	榜
69A5	榥
69A6	榦
69A8	榨
69AB	榫
69AD	榭
69AE	榮
69B4	榴
69B6	榶
69B7	榷
69BB	榻
69BC	榼
69C1	槁
69C2	槂
69C3	槃
69C4	槄
69C9	槉
69CA	槊
69CB	構
69CC	槌
69CD	槍
69D0	槐
69D3	槓
69D9	槙
69E4	槤
69E8	槨
69ED	槭
69F2	槲
69F3	槳
69F4	槴
69FB	槻
69FD	槽
69FF	槿
6A00	樀
6A01	樁
6A02	樂
6A05	樅
6A0A	樊
6A11	樑
6A13	樓
6A18	樘
6A19	標
6A1E	樞
6A1F	樟
6A21	模
6A23	樣
6A26	樦
6A28	樨
6A35	樵
6A38	樸
6A39	樹
6A3A	樺
6A3D	樽
6A44	橄
6A47	橇
6A48	橈
6A4B	橋
6A50	橐
6A55	橕
6A58	橘
6A59	橙
6A5B	橛
6A5F	機
6A61	橡
6A62	橢
6A68	橨
6A6B	橫
6A7F	橿
6A80	檀
6A84	檄
6A89	檉
6A8E	檎
6A90	檐
6A94	檔
6A97	檗
6A9C	檜
6AA2	檢
6AAC	檬
6AAF	檯
6AB3	檳
6AB8	檸
6ABB	檻
6AC2	櫂
6AC3	櫃
6AC8	櫈
6AD3	櫓
6ADA	櫚
6ADB	櫛
6ADD	櫝
6ADE	櫞
6ADF	櫟
6AE5	櫥
6AE8	櫨
6AEA	櫪
6AEC	櫬
6AF8	櫸
6AFA	櫺
6AFB	櫻
6B04	欄
6B09	欉
6B0A	權
6B0F	欏
6B12	欒
6B16	欖
6B20	欠
6B21	次
6B23	欣
6B25	欥
6B28	欨
6B32	欲
6B37	欷
6B38	欸
6B3A	欺
6B3D	欽
6B3E	款
6B43	歃
6B46	歆
6B47	歇
6B49	歉
6B4C	歌
6B4E	歎
6B50	歐
6B59	歙
6B5B	歛
6B5F	歟
6B61	歡
6B62	止
6B63	正
6B64	此
6B65	步
6B66	武
6B67	歧
6B6A	歪
6B72	歲
6B77	歷
6B78	歸
6B79	歹
6B7B	死
6B7F	歿
6B83	殃
6B84	殄
6B86	殆
6B89	殉
6B8A	殊
6B91	殑
6B96	殖
6B98	殘
6B9E	殞
6BA4	殤
6BA5	殥
6BAD	殭
6BAE	殮
6BAF	殯
6BB2	殲
6BB5	段
6BB7	殷
6BBA	殺
6BBC	殼
6BBF	殿
6BC0	毀
6BC5	毅
6BC6	毆
6BCB	毋
6BCD	母
6BCF	每
6BD0	毐
6BD2	毒
6BD3	毓
6BD4	比
6BD7	毗
6BD8	毘
6BDB	毛
6BE1	毡
6BEB	毫
6BEC	毬
6BEF	毯
6BFC	毼
6BFD	毽
6C02	氂
6C08	氈
6C0F	氏
6C10	氐
6C11	民
6C13	氓
6C14	气
6C16	氖
6C18	氘
6C19	氙
6C1A	氚
6C1B	氛
6C1F	氟
6C23	氣
6C24	氤
6C25	氥
6C26	氦
6C27	氧
6C28	氨
6C2A	氪
6C2B	氫
6C2C	氬
6C2E	氮
6C2F	氯
6C30	氰
6C33	氳
6C34	水
6C38	永
6C39	氹
6C3E	氾
6C40	汀
6C41	汁
6C42	求
6C46	汆
6C4E	汎
6C50	汐
6C54	汔
6C55	汕
6C57	汗
6C59	汙
6C5B	汛
6C5D	汝
6C5E	汞
6C5F	江
6C60	池
6C61	污
6C68	汨
6C69	汩
6C6A	汪
6C70	汰
6C72	汲
6C74	汴
6C76	汶
6C7A	決
6C7D	汽
6C7E	汾
6C81	沁
6C82	沂
6C83	沃
6C85	沅
6C86	沆
6C87	沇
6C88	沈
6C89	沉
6C8C	沌
6C8F	沏
6C90	沐
6C92	沒
6C93	沓
6C96	沖
6C99	沙
6C9B	沛
6CAB	沫
6CAC	沬
6CAE	沮
6CB1	沱
6CB3	河
6CB8	沸
6CB9	油
6CBB	治
6CBC	沼
6CBD	沽
6CBE	沾
6CBF	沿
6CC1	況
6CC4	泄
6CC5	泅
6CC9	泉
6CCA	泊
6CCC	泌
6CD3	泓
6CD5	法
6CD7	泗
6CDB	泛
6CDD	泝
6CE0	泠
6CE1	泡
6CE2	波
6CE3	泣
6CE5	泥
6CE8	注
6CEB	泫
6CEE	泮
6CEF	泯
6CF0	泰
6CF1	泱
6CF3	泳
6CF5	泵
6D01	洁
6D04	洄
6D0B	洋
6D0C	洌
6D12	洒
6D17	洗
6D19	洙
6D1B	洛
6D1E	洞
6D25	津
6D28	洨
6D29	洩
6D2A	洪
6D31	洱
6D32	洲
6D33	洳
6D35	洵
6D36	洶
6D37	洷
6D38	洸
6D39	洹
6D3A	洺
6D3B	活
6D3D	洽
6D3E	派
6D41	流
6D59	浙
6D5A	浚
6D60	浠
6D63	浣
6D65	浥
6D66	浦
6D69	浩
6D6A	浪
6D6C	浬
6D6E	浮
6D6F	浯
6D74	浴
6D77	海
6D78	浸
6D79	浹
6D7F	浿
6D82	涂
6D85	涅
6D87	涇
6D88	消
6D89	涉
6D8C	涌
6D8E	涎
6D92	涒
6D93	涓
6D94	涔
6D95	涕
6DAE	涮
6DAF	涯
6DB2	液
6DB4	涴
6DB5	涵
6DB7	涷
6DB8	涸
6DBC	涼
6DBF	涿
6DC0	淀
6DC2	淂
6DC5	淅
6DC6	淆
6DC7	淇
6DCB	淋
6DCC	淌
6DCD	淍
6DD1	淑
6DD2	淒
6DD6	淖
6DD8	淘
6DD9	淙
6DDA	淚
6DDE	淞
6DE1	淡
6DE4	淤
6DE5	淥
6DE6	淦
6DE8	淨
6DE9	淩
6DEA	淪
6DEB	淫
6DEC	淬
6DEE	淮
6DEF	淯
6DF1	深
6DF3	淳
6DF5	淵
6DF6	淶
6DF7	混
6DF9	淹
6DFA	淺
6DFB	添
6DFC	淼
6E05	清
6E19	渙
6E1A	渚
6E1B	減
6E1D	渝
6E20	渠
6E21	渡
6E23	渣
6E24	渤
6E25	渥
6E26	渦
6E27	渧
6E2C	測
6E2D	渭
6E2F	港
6E32	渲
6E34	渴
6E38	游
6E3A	渺
6E3E	渾
6E43	湃
6E44	湄
6E4A	湊
6E4D	湍
6E4E	湎
6E56	湖
6E58	湘
6E5B	湛
6E63	湣
6E67	湧
6E6E	湮
6E6F	湯
6E73	湳
6E88	溈
6E89	溉
6E8F	溏
6E90	源
6E96	準
6E98	溘
6E9C	溜
6E9D	溝
6E9F	溟
6EA2	溢
6EA4	溤
6EA5	溥
6EA7	溧
6EAA	溪
6EAB	溫
6EAF	溯
6EB1	溱
6EB4	溴
6EB6	溶
6EBA	溺
6EBC	溼
6EBD	溽
6EC1	滁
6EC2	滂
6EC4	滄
6EC5	滅
6EC7	滇
6EC9	滉
6ECB	滋
6ECC	滌
6ECE	滎
6ED0	滐
6ED1	滑
6ED3	滓
6ED4	滔
6ED5	滕
6ED8	滘
6ED9	滙
6EEB	滫
6EEC	滬
6EEF	滯
6EF2	滲
6EF4	滴
6EF7	滷
6EF8	滸
6EFE	滾
6EFF	滿
6F01	漁
6F02	漂
6F06	漆
6F09	漉
6F0F	漏
6F13	漓
6F14	演
6F15	漕
6F1A	漚
6F20	漠
6F22	漢
6F23	漣
6F25	漥
6F29	漩
6F2A	漪
6F2B	漫
6F2C	漬
6F2F	漯
6F31	漱
6F32	漲
6F33	漳
6F38	漸
6F3E	漾
6F3F	漿
6F41	潁
6F51	潑
6F54	潔
6F58	潘
6F5B	潛
6F5F	潟
6F62	潢
6F64	潤
6F66	潦
6F6D	潭
6F6E	潮
6F70	潰
6F78	潸
6F7A	潺
6F7C	潼
6F7D	潽
6F7E	潾
6F80	澀
6F84	澄
6F86	澆
6F87	澇
6F88	澈
6F8C	澌
6F8D	澍
6F8E	澎
6F90	澐
6F94	澔
6F97	澗
6FA1	澡
6FA4	澤
6FA7	澧
6FAA	澪
6FB1	澱
6FB3	澳
6FB9	澹
6FC0	激
6FC1	濁
6FC2	濂
6FC3	濃
6FCE	濎
6FD4	濔
6FD5	濕
6FD8	濘
6FDB	濛
6FDF	濟
6FE0	濠
6FE1	濡
6FE4	濤
6FEB	濫
6FEC	濬
6FEE	濮
6FEF	濯
6FF0	濰
6FF1	濱
6FFA	濺
6FFE	濾
7005	瀅
7006	瀆
7009	瀉
700B	瀋
700F	瀏
7011	瀑
7015	瀕
7018	瀘
701A	瀚
701B	瀛
701D	瀝
701E	瀞
701F	瀟
7021	瀡
7023	瀣
7026	瀦
7027	瀧
7028	瀨
7030	瀰
7032	瀲
703E	瀾
704C	灌
7051	灑
7055	灕
7058	灘
705D	灝
7060	灠
7063	灣
7069	灩
706B	火
7070	灰
7076	灶
7078	灸
707C	灼
707D	災
7085	炅
7086	炆
708A	炊
708E	炎
7092	炒
7094	炔
7095	炕
7096	炖
7098	炘
7099	炙
70A4	炤
70AB	炫
70AC	炬
70AD	炭
70AE	炮
70AF	炯
70B3	炳
70B7	炷
70B8	炸
70BA	為
70C8	烈
70CA	烊
70CF	烏
70D4	烔
70D8	烘
70D9	烙
70DF	烟
70E4	烤
70EF	烯
70F1	烱
70F4	烴
70F7	烷
70F9	烹
70FD	烽
7109	焉
710A	焊
7117	焗
7119	焙
711A	焚
711C	焜
7120	焠
7121	無
7122	焢
7126	焦
712F	焯
7130	焰
7131	焱
7136	然
713F	焿
7140	煀
7145	煅
7147	煇
7149	煉
714A	煊
714C	煌
714E	煎
7152	煒
7156	煖
7159	煙
715C	煜
715E	煞
7164	煤
7165	煥
7166	煦
7167	照
7168	煨
7169	煩
716C	煬
716E	煮
7172	煲
7178	煸
717D	煽
7184	熄
718A	熊
718F	熏
7192	熒
7194	熔
7197	熗
7199	熙
719F	熟
71A0	熠
71A8	熨
71AC	熬
71B1	熱
71B5	熵
71B9	熹
71BE	熾
71C1	燁
71C3	燃
71C4	燄
71C8	燈
71C9	燉
71CA	燊
71CE	燎
71D0	燐
71D2	燒
71D4	燔
71D5	燕
71D9	燙
71DA	燚
71DC	燜
71DF	營
71E0	燠
71E5	燥
71E6	燦
71E7	燧
71EC	燬
71ED	燭
71EE	燮
71F4	燴
71F6	燶
71FB	燻
71FC	燼
71FE	燾
71FF	燿
7206	爆
720C	爌
720D	爍
7210	爐
721B	爛
7227	爧
7228	爨
722A	爪
722C	爬
722D	爭
7230	爰
7232	爲
7235	爵
7236	父
7238	爸
7239	爹
723A	爺
723B	爻
723D	爽
723E	爾
7240	牀
7246	牆
7247	片
7248	版
724C	牌
7252	牒
7256	牖
7258	牘
7259	牙
725B	牛
725D	牝
725F	牟
7260	牠
7261	牡
7262	牢
7267	牧
7269	物
726A	牪
726F	牯
7272	牲
7274	牴
7279	特
727B	牻
727D	牽
7280	犀
7281	犁
7284	犄
728D	犍
7292	犒
7296	犖
729B	犛
72A1	犡
72A2	犢
72A7	犧
72AC	犬
72AF	犯
72BD	犽
72C0	狀
72C2	狂
72C4	狄
72CE	狎
72D0	狐
72D2	狒
72D7	狗
72D9	狙
72E0	狠
72E1	狡
72E6	狦
72E9	狩
72F7	狷
72F8	狸
72F9	狹
72FB	狻
72FC	狼
72FD	狽
730A	猊
730B	猋
7316	猖
7319	猙
731B	猛
731C	猜
731D	猝
7325	猥
7329	猩
7332	猲
7334	猴
7336	猶
7337	猷
733E	猾
733F	猿
7341	獁
7343	獃
7344	獄
7345	獅
734E	獎
7350	獐
7352	獒
7357	獗
7360	獠
7366	獦
7368	獨
736A	獪
7370	獰
7372	獲
7375	獵
7377	獷
7378	獸
737A	獺
737B	獻
737C	獼
737E	獾
7384	玄
7386	玆
7387	率
7389	玉
738B	王
7393	玓
7396	玖
7397	玗
739F	玟
73A0	玠
73A5	玥
73A7	玧
73A8	玨
73A9	玩
73AB	玫
73B2	玲
73B3	玳
73B7	玷
73B9	玹
73BB	玻
73C0	珀
73C2	珂
73C5	珅
73C7	珇
73C8	珈
73C9	珉
73CA	珊
73CD	珍
73CF	珏
73DE	珞
73E0	珠
73E3	珣
73E5	珥
73E9	珩
73EA	珪
73ED	班
73EE	珮
73FA	珺
73FD	珽
73FE	現
7401	琁
7403	球
7404	琄
7405	琅
7406	理
7407	琇
7409	琉
740A	琊
740B	琋
740D	琍
741A	琚
741B	琛
7422	琢
7425	琥
7426	琦
7428	琨
742A	琪
742C	琬
742E	琮
7430	琰
7432	琲
7433	琳
7434	琴
7435	琵
7436	琶
743A	琺
743C	琼
7440	瑀
7441	瑁
7444	瑄
744B	瑋
7455	瑕
7459	瑙
745A	瑚
745B	瑛
745C	瑜
745E	瑞
745F	瑟
7462	瑢
7463	瑣
7464	瑤
7469	瑩
746A	瑪
746D	瑭
746E	瑮
746F	瑯
7470	瑰
7471	瑱
7473	瑳
747D	瑽
747E	瑾
7480	璀
7483	璃
7487	璇
7489	璉
748A	璊
748B	璋
7490	璐
7498	璘
749C	璜
749E	璞
749F	璟
74A3	璣
74A6	璦
74A7	璧
74A8	璨
74A9	璩
74B0	環
74BD	璽
74BF	璿
74CA	瓊
74CF	瓏
74D4	瓔
74DC	瓜
74E0	瓠
74E2	瓢
74E3	瓣
74E4	瓤
74E6	瓦
74E9	瓩
74EE	瓮
74F6	瓶
74F7	瓷
7504	甄
750C	甌
7515	甕
7518	甘
751A	甚
751C	甜
751F	生
7521	甡
7522	產
7525	甥
7526	甦
7528	用
7529	甩
752B	甫
752C	甬
752D	甭
752F	甯
7530	田
7531	由
7532	甲
7533	申
7534	甴
7537	男
7538	甸
753A	町
753B	画
753E	甾
7540	畀
7547	畇
754B	畋
754C	界
754F	畏
7553	畓
7554	畔
7559	留
755A	畚
755C	畜
755D	畝
7562	畢
7565	略
7566	畦
756A	番
756B	畫
756C	畬
756F	畯
7570	異
7576	當
7578	畸
757F	畿
7586	疆
7587	疇
758A	疊
758B	疋
758F	疏
7591	疑
7594	疔
7599	疙
759A	疚
759D	疝
75A3	疣
75A4	疤
75A5	疥
75AA	疪
75AB	疫
75B2	疲
75B3	疳
75B5	疵
75B8	疸
75B9	疹
75BC	疼
75BD	疽
75BE	疾
75C2	痂
75C5	病
75C7	症
75CA	痊
75CD	痍
75D2	痒
75D4	痔
75D5	痕
75D8	痘
75D9	痙
75DB	痛
75DE	痞
75E0	痠
75E2	痢
75E3	痣
75E4	痤
75E7	痧
75F0	痰
75F1	痱
75F2	痲
75F3	痳
75F4	痴
75F9	痹
75FA	痺
75FC	痼
75FE	痾
75FF	痿
7600	瘀
7601	瘁
7602	瘂
7609	瘉
760B	瘋
760D	瘍
7610	瘐
7613	瘓
7616	瘖
7619	瘙
761C	瘜
761F	瘟
7620	瘠
7621	瘡
7622	瘢
7624	瘤
7625	瘥
7626	瘦
7627	瘧
7629	瘩
7630	瘰
7634	瘴
7638	瘸
763A	瘺
7642	療
7646	癆
7647	癇
7648	癈
764C	癌
7652	癒
7656	癖
7658	癘
765F	癟
7661	癡
7662	癢
7664	癤
7665	癥
7666	癦
7669	癩
766C	癬
766E	癮
7670	癰
7671	癱
7672	癲
7678	癸
767B	登
767C	發
767D	白
767E	百
7682	皂
7684	的
7686	皆
7687	皇
7688	皈
768B	皋
768E	皎
7693	皓
7696	皖
7699	皙
769A	皚
76A6	皦
76AE	皮
76B0	皰
76B4	皴
76B8	皸
76BA	皺
76BF	皿
76C2	盂
76C3	盃
76C5	盅
76C6	盆
76C8	盈
76CA	益
76CD	盍
76CE	盎
76D2	盒
76D4	盔
76DB	盛
76DC	盜
76DE	盞
76DF	盟
76E1	盡
76E3	監
76E4	盤
76E5	盥
76E7	盧
76EA	盪
76EC	盬
76EE	目
76EF	盯
76F2	盲
76F4	直
76F8	相
76F9	盹
76FC	盼
76FE	盾
7701	省
7708	眈
7709	眉
770A	眊
770B	看
771B	眛
771F	真
7720	眠
7725	眥
7728	眨
7729	眩
772D	眭
772F	眯
7736	眶
7737	眷
7738	眸
773A	眺
773C	眼
773E	眾
7740	着
7747	睇
774C	睌
774F	睏
775B	睛
775C	睜
775E	睞
7761	睡
7762	睢
7763	督
7765	睥
7766	睦
7767	睧
7768	睨
776A	睪
776B	睫
776C	睬
7779	睹
777A	睺
777D	睽
777E	睾
777F	睿
7784	瞄
7785	瞅
7787	瞇
778B	瞋
778C	瞌
778E	瞎
7791	瞑
7793	瞓
779C	瞜
779E	瞞
779F	瞟
77A0	瞠
77A5	瞥
77A7	瞧
77AA	瞪
77AC	瞬
77AD	瞭
77B0	瞰
77B3	瞳
77B4	瞴
77BB	瞻
77BC	瞼
77BD	瞽
77BF	瞿
77C2	矂
77C7	矇
77CB	矋
77D3	矓
77D7	矗
77DA	矚
77DB	矛
77DC	矜
77E2	矢
77E3	矣
77E5	知
77E9	矩
77EC	矬
77ED	短
77EE	矮
77EF	矯
77F0	矰
77F3	石
77F8	矸
77FD	矽
7802	砂
780C	砌
780D	砍
7812	砒
7814	研
781D	砝
7825	砥
7826	砦
7827	砧
782D	砭
7830	砰
7832	砲
7834	破
7835	砵
7837	砷
7838	砸
7843	硃
7845	硅
784D	硍
784F	硏
7850	硐
7852	硒
785D	硝
7868	硨
786B	硫
786C	硬
786E	确
786F	硯
787C	硼
787F	硿
7880	碀
7881	碁
7887	碇
7889	碉
788C	碌
788E	碎
7891	碑
7893	碓
7897	碗
7898	碘
789A	碚
789F	碟
78A3	碣
78A7	碧
78A9	碩
78B0	碰
78B3	碳
78B4	碴
78BA	確
78BC	碼
78BE	碾
78C1	磁
78C5	磅
78CA	磊
78CB	磋
78D0	磐
78D5	磕
78DA	磚
78E1	磡
78E8	磨
78EC	磬
78EF	磯
78F2	磲
78F3	磳
78F7	磷
78FA	磺
7901	礁
790E	礎
7911	礑
7919	礙
7921	礡
7926	礦
7928	礨
792A	礪
792B	礫
792C	礬
7931	礱
7938	礸
7939	礹
793A	示
793D	礽
793E	社
7940	祀
7941	祁
7942	祂
7947	祇
7948	祈
7949	祉
794A	祊
794F	祏
7950	祐
7953	祓
7955	祕
7956	祖
7957	祗
795A	祚
795B	祛
795D	祝
795E	神
795F	祟
7960	祠
7961	祡
7964	祤
7965	祥
7967	祧
7968	票
796D	祭
7979	祹
797A	祺
797F	祿
7981	禁
7988	禈
798D	禍
798E	禎
798F	福
7995	禕
799A	禚
799B	禛
79A2	禢
79A6	禦
79A7	禧
79AA	禪
79AC	禬
79AE	禮
79B0	禰
79B1	禱
79B3	禳
79B9	禹
79BA	禺
79BB	离
79BD	禽
79BE	禾
79BF	禿
79C0	秀
79C1	私
79C5	秅
79C8	秈
79C9	秉
79CB	秋
79CD	种
79CF	秏
79D1	科
79D2	秒
79D8	秘
79DC	秜
79DD	秝
79DF	租
79E4	秤
79E6	秦
79E7	秧
79E9	秩
79EB	秫
79EC	秬
79ED	秭
79F6	秶
79F8	秸
79FB	移
7A00	稀
7A05	稅
7A08	稈
7A0B	程
7A0D	稍
7A14	稔
7A17	稗
7A1A	稚
7A1C	稜
7A1E	稞
7A1F	稟
7A20	稠
7A28	稨
7A2E	種
7A2F	稯
7A31	稱
7A37	稷
7A39	稹
7A3B	稻
7A3C	稼
7A3D	稽
7A3F	稿
7A40	穀
7A46	穆
7A4C	穌
7A4D	積
7A4E	穎
7A56	穖
7A57	穗
7A5A	穚
7A5B	穛
7A60	穠
7A61	穡
7A62	穢
7A69	穩
7A6B	穫
7A6D	穭
7A70	穰
7A74	穴
7A76	究
7A79	穹
7A7A	空
7A7F	穿
7A81	突
7A84	窄
7A88	窈
7A92	窒
7A95	窕
7A96	窖
7A97	窗
7A98	窘
7A9F	窟
7AA0	窠
7AA3	窣
7AA8	窨
7AA9	窩
7AAA	窪
7AAE	窮
7AAF	窯
7AB0	窰
7AB3	窳
7AB6	窶
7AB8	窸
7ABA	窺
7ABF	窿
7AC4	竄
7AC5	竅
7AC7	竇
